epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2178.45,0.67446,0.78646,0.55514,0.8895,0.88627,0.8219,0.90078,0.71415,0.86058,0.79512,0.86403,0.50184,0.8214,1.07013,0.60072,0.90892,0.00087875,0.00087875,0.00087875
62,2214.48,0.66454,0.76572,0.54913,0.89009,0.80841,0.82612,0.87754,0.69376,0.78732,0.78328,0.8348,0.508,0.82725,0.9407,0.74976,0.92916,0.000872563,0.000872563,0.000872563
63,2248.86,0.65251,0.74923,0.52236,0.88474,0.87187,0.83027,0.89612,0.72005,0.84953,0.81309,0.86813,0.53191,0.78445,0.93155,0.59263,0.89956,0.000866375,0.000866375,0.000866375
64,2284.19,0.66315,0.77783,0.53493,0.88708,0.86967,0.82306,0.88896,0.69801,0.84853,0.79494,0.84798,0.49668,0.83226,1.0414,0.60325,0.92158,0.000860188,0.000860188,0.000860188
65,2318.1,0.65741,0.75007,0.55261,0.88636,0.86548,0.81052,0.88701,0.69605,0.85628,0.79052,0.85787,0.50761,0.83593,0.98503,0.63076,0.91812,0.000854,0.000854,0.000854
66,2353.57,0.65821,0.76276,0.54511,0.88301,0.85078,0.8214,0.89118,0.70308,0.83272,0.79926,0.85594,0.50907,0.802,0.92867,0.62325,0.9113,0.000847813,0.000847813,0.000847813
67,2387.77,0.65378,0.76314,0.5474,0.88359,0.81456,0.82248,0.87572,0.68838,0.79218,0.79283,0.84054,0.51228,0.84974,0.9465,0.65962,0.9346,0.000841625,0.000841625,0.000841625
68,2422.13,0.65831,0.77857,0.5476,0.87817,0.86805,0.82108,0.88744,0.71222,0.84792,0.79718,0.85545,0.5269,0.79798,0.91105,0.6107,0.90463,0.000835438,0.000835438,0.000835438
69,2458.95,0.66412,0.8077,0.55013,0.88265,0.89109,0.81992,0.90188,0.71149,0.88889,0.79032,0.86166,0.50583,0.80741,1.00159,0.57675,0.91657,0.00082925,0.00082925,0.00082925
70,2492.95,0.63907,0.78835,0.53151,0.8833,0.84925,0.86109,0.90668,0.71986,0.84699,0.82923,0.88608,0.53479,0.77817,0.89152,0.57609,0.90456,0.000823063,0.000823063,0.000823063
71,2528.94,0.63804,0.78067,0.51738,0.87637,0.85873,0.85957,0.90271,0.71754,0.84364,0.83772,0.87524,0.52619,0.78979,0.8912,0.56119,0.90969,0.000816875,0.000816875,0.000816875
72,2562.96,0.63644,0.74196,0.51884,0.88026,0.84153,0.79432,0.87435,0.69774,0.8248,0.77314,0.84049,0.50943,0.80972,0.92442,0.67677,0.91173,0.000810688,0.000810688,0.000810688
73,2597.8,0.63148,0.74628,0.51609,0.87787,0.81884,0.85162,0.88374,0.71093,0.78993,0.8246,0.84652,0.51485,0.77413,0.90926,0.59969,0.90231,0.0008045,0.0008045,0.0008045
74,2632.9,0.643,0.75583,0.52982,0.87515,0.85584,0.83208,0.87651,0.70017,0.83464,0.80622,0.84143,0.50814,0.81149,0.95686,0.61673,0.91375,0.000798313,0.000798313,0.000798313
75,2666.72,0.62154,0.75035,0.50927,0.87276,0.8485,0.80778,0.87588,0.70799,0.83207,0.78987,0.84854,0.52583,0.76856,0.8958,0.62899,0.90018,0.000792125,0.000792125,0.000792125
76,2704.08,0.63823,0.74312,0.51957,0.87406,0.82805,0.84202,0.88918,0.70724,0.82099,0.81265,0.85907,0.52351,0.78856,0.95078,0.60371,0.90346,0.000785938,0.000785938,0.000785938
77,2737.95,0.62652,0.7317,0.50893,0.87199,0.86331,0.85433,0.90104,0.72468,0.84366,0.83239,0.87775,0.52909,0.76428,0.90365,0.56584,0.89594,0.00077975,0.00077975,0.00077975
78,2772.85,0.62503,0.72514,0.49401,0.87569,0.76801,0.84423,0.8599,0.67463,0.82619,0.75348,0.8315,0.50304,0.85759,0.94525,0.71423,0.92545,0.000773563,0.000773563,0.000773563
79,2808.35,0.63035,0.75375,0.50285,0.87683,0.85281,0.84349,0.89376,0.70854,0.86309,0.79157,0.86256,0.5037,0.83291,1.09324,0.61564,0.91986,0.000767375,0.000767375,0.000767375
80,2842.96,0.62583,0.74959,0.48241,0.87656,0.83946,0.82754,0.87799,0.71602,0.82684,0.81063,0.85978,0.54641,0.75042,0.87059,0.62339,0.8893,0.000761188,0.000761188,0.000761188
81,2879.19,0.61887,0.74122,0.49988,0.8714,0.86481,0.83632,0.88694,0.70772,0.84816,0.81957,0.86179,0.51649,0.81001,0.98271,0.60528,0.91549,0.000755,0.000755,0.000755
82,2913.55,0.62522,0.74272,0.50612,0.87888,0.83485,0.82421,0.86201,0.69843,0.82929,0.78796,0.83915,0.52208,0.78884,0.93092,0.65901,0.89732,0.000748813,0.000748813,0.000748813
83,2951.05,0.62306,0.73385,0.51411,0.87057,0.84475,0.83173,0.88877,0.70723,0.81638,0.8231,0.86319,0.5285,0.79646,0.91772,0.6151,0.9151,0.000742625,0.000742625,0.000742625
84,2985.81,0.63675,0.77471,0.52194,0.8843,0.8602,0.83564,0.89927,0.7231,0.85899,0.79945,0.8714,0.53934,0.78974,0.8763,0.5924,0.90723,0.000736438,0.000736438,0.000736438
85,3020.42,0.61894,0.7342,0.47866,0.87144,0.85614,0.85266,0.8995,0.72267,0.83877,0.82216,0.8713,0.52802,0.7812,0.99021,0.57282,0.90167,0.00073025,0.00073025,0.00073025
86,3056.65,0.6191,0.72241,0.49458,0.87112,0.81689,0.80916,0.86043,0.68999,0.80011,0.78953,0.84018,0.52105,0.78354,0.92318,0.62105,0.90541,0.000724062,0.000724062,0.000724062
87,3091.31,0.61076,0.72362,0.48118,0.87411,0.86726,0.848,0.90282,0.72324,0.84935,0.82863,0.87564,0.54415,0.78833,0.89545,0.55442,0.91635,0.000717875,0.000717875,0.000717875
88,3127.21,0.61653,0.73418,0.47829,0.87293,0.86495,0.80318,0.87111,0.71276,0.85071,0.78846,0.84915,0.53014,0.76147,0.90483,0.64897,0.88581,0.000711687,0.000711687,0.000711687
